the_geom,OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,YR2016_PM,YR2017_PM
POINT (-122.445915594325 37.773000295839),23,28,23rd and Potrero,,23962000,PM,35,34,73,74,70,0,-1,162,0,0,,,TWINTERS,11/09/2017 12:37:12 AM +0000,{7637D406-4539-4E63-AC5C-650BCDD332EC},-1,-1
POINT (-122.464325685481 37.766076717023),77,47,7th and Lincoln,INTERSECTIONS,27152000,N/A,0,0,0,0,0,68,72,53,28,0,,,TWINTERS,11/09/2017 12:37:19 AM +0000,{18DB65DB-598B-4606-B7B0-5335DD0E7D45},-1,-1
POINT (-122.418696814128 37.775591461157),19,24,Third Street Bridge (06-07) & Illinois St (08),,0,PM,42,26,16,13,27,0,-1,-1,0,0,,,TWINTERS,11/09/2017 12:38:30 AM +0000,{E0204DEB-8FA6-48D5-8039-F9994B7B3750},-1,-1
POINT (-122.424160374823 37.739874118543),18,21,Alemany and Geneva,,22052000,PM,9,28,28,29,25,0,-1,-1,0,0,,,TWINTERS,11/09/2017 12:37:23 AM +0000,{1869B202-032C-469D-AB9B-A879EEC5C674},-1,-1
POINT (-122.415574613403 37.773105480038),75,10,11th and Howard,INTERSECTIONS,24353000,PM,227,250,333,332,323,578,624,661,596,462,,,TWINTERS,11/13/2017 07:56:12 PM +0000,{D534EBD7-859E-4333-9E86-5026445A25D3},745,872
POINT (-122.407316881895 37.807384353195),6,86,The Embarcadero North Point Kearny,INTERSECTIONS,25474000,,-1,-1,-1,-1,-1,-1,-1,678,532,-1,,,TWINTERS,11/09/2017 12:38:30 AM +0000,{25949E8A-2339-49C2-AF1D-EEA2B02D4799},-1,-1
POINT (-122.422853797429 37.741032296652),59,44,Mission and Cortland,INTERSECTIONS,21326000,N/A,0,0,0,0,0,117,87,101,55,0,,,TWINTERS,11/09/2017 12:38:07 AM +0000,{9E8A107A-3582-4BB0-BD87-4D7680CF50AD},-1,-1
POINT (-122.47511569773 37.734630456495),56,40,19th Ave and Sloat,INTERSECTIONS,23149000,N/A,0,0,0,0,0,61,43,48,12,0,,,TWINTERS,11/09/2017 12:37:07 AM +0000,{CC3F854E-84AB-4B26-9766-3FDB8B4C6C82},-1,-1
POINT (-122.452344784111 37.723085127668),13,81,Phelan and Geneva and Ocean,INTERSECTIONS,22192000,,-1,-1,-1,-1,-1,-1,-1,64,85,-1,,,TWINTERS,11/09/2017 12:38:17 AM +0000,{CDDA266F-255D-4CC5-8A55-57111DDBA53B},-1,-1
POINT (-122.414400822571 37.755704355116),12,74,Folsom and 22nd,INTERSECTIONS,24077000,,-1,-1,-1,-1,-1,-1,-1,292,365,-1,,,TWINTERS,11/09/2017 12:37:42 AM +0000,{F8B9F949-B1A6-4A18-AE50-E76C09D250B1},-1,-1
POINT (-122.509446178924 37.779855955757),71,58,Point Lobos and 48th Avenue,INTERSECTIONS,28013000,,-1,-1,-1,-1,-1,-1,59,51,20,-1,,,TWINTERS,11/09/2017 12:38:18 AM +0000,{F685825A-CC29-45EE-B346-4BB424400ADE},-1,-1
POINT (-122.408079770155 37.783996380186),37,5,5th and Market,INTERSECTIONS,30739000,AM/PM/Mid,468,356,396,469,796,1134,1267,1495,1449,952,,,TWINTERS,11/08/2017 11:40:12 PM +0000,{EDB6FA7D-A6BB-4F43-AE20-A198E1EBA35B},1485,1250
POINT (-122.446859698904 37.777673998942),49,30,Golden Gate and Masonic,INTERSECTIONS,26383000,PM,42,38,47,43,54,105,104,82,79,75,,,TWINTERS,11/13/2017 07:58:23 PM +0000,{5FB70354-9C50-4863-B5D2-8E70A7FBE44C},93,53
POINT (-122.423632746711 37.77172185281),29,54,Market and Octavia,INTERSECTIONS,35006000,,-1,-1,-1,-1,-1,-1,1126,911,978,-1,,,TWINTERS,11/09/2017 12:38:02 AM +0000,{4D3F6D42-4266-4923-B150-6D4C4934C1C4},-1,-1
POINT (-122.421781393557 37.795950295984),7,82,Polk and Broadway,INTERSECTIONS,25315000,,-1,-1,-1,-1,-1,-1,-1,249,271,-1,,,TWINTERS,11/09/2017 12:38:19 AM +0000,{3FADA5D0-EDAB-41E5-BC11-3C7A061258D2},-1,-1
POINT (-122.415627003614 37.768542278031),43,13,14th and Folsom,INTERSECTIONS,24336000,AM,0,200,214,258,252,346,413,489,460,0,,,TWINTERS,11/09/2017 12:37:03 AM +0000,{6C9D0734-0B5A-4319-8ACF-51F1230C7A0B},-1,-1
POINT (-122.434575326353 37.784156755213),88,80,Pedestrian Bridge at Steiner and Geary Blvd,INTERSECTIONS,26594000,,-1,-1,-1,-1,-1,-1,-1,98,139,-1,,,TWINTERS,11/09/2017 12:38:16 AM +0000,{C95F1AA7-43FB-4586-8985-C690B3CEC569},-1,-1
POINT (-122.47523517891 37.721062179246),76,35,19th and Holloway,INTERSECTIONS,23032000,N/A,0,0,0,0,0,99,84,84,54,0,,,TWINTERS,11/09/2017 12:37:08 AM +0000,{163FEA6F-941D-4451-AB4F-A259A2A48839},-1,-1
POINT (-122.428670387295 37.767739778754),28,49,14th and Market/Church,INTERSECTIONS,25882000,N/A,0,0,0,0,0,500,423,340,288,0,,,TWINTERS,11/09/2017 12:37:04 AM +0000,{EEB10E1E-0A83-40D5-B17E-B5B3DC88B1DB},-1,-1
POINT (-122.400797963402 37.723621098604),78,68,Bayshore Blvd and Paul Ave,INTERSECTIONS,20574000,,-1,-1,-1,-1,-1,-1,-1,26,16,-1,,,TWINTERS,11/09/2017 12:37:28 AM +0000,{48744FD9-308E-4F94-9588-57ABADE6FA08},-1,-1
POINT (-122.479690311452 37.770443806579),45,17,JFK and Transverse,INTERSECTIONS,27464000,PM,300,175,270,410,191,0,370,420,378,0,,,TWINTERS,11/09/2017 12:38:00 AM +0000,{B10E82DE-F7CE-48DF-B834-487B6C86A8FD},-1,-1
POINT (-122.388310837063 37.781806733548),40,8,Embarcadero and Townsend,INTERSECTIONS,23592000,PM,195,259,319,315,366,651,810,717,653,569,,,TWINTERS,11/08/2017 11:41:48 PM +0000,{CDE5A9B7-C169-4135-916A-04687A9427AF},872,799
POINT (-122.438378728319 37.777799079773),2,72,Divisadero and McAllister,INTERSECTIONS,26067000,,-1,-1,-1,-1,-1,-1,-1,289,213,-1,,,TWINTERS,11/09/2017 12:37:37 AM +0000,{1F578784-B459-41A4-8045-6118B466E0B4},-1,-1
POINT (-122.437452342037 37.723721349184),27,41,Mission and Ocean,INTERSECTIONS,21743000,N/A,0,0,0,0,0,42,35,35,24,0,,,TWINTERS,11/09/2017 12:38:08 AM +0000,{AA2AF970-7D04-439F-BDD0-4303855B55AA},-1,-1
POINT (-122.453739456502 37.770102968894),61,48,Page and Stanyan,INTERSECTIONS,26440000,N/A,0,0,0,0,0,138,245,170,166,0,,,TWINTERS,11/09/2017 12:38:14 AM +0000,{CC0E52E6-6D77-4F44-B22C-30F7041D9E3E},-1,-1
