the_geom,OBJECTID,CNN,ST_NAME1,ST_TYPE1,CNNTEXT,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.447692429974 37.7917078425),4391,26956000,PACIFIC,AVE,26956000,PRESIDIO,AVE,PRESIDIO,BLVD,,,368,0,0,0,8,98325,1479,0,0,,,,
POINT (-122.447103784357 37.746861052268),2664,32981000,SUNVIEW,DR,32981000,PORTOLA,DR,,,,,351,0,0,0,13,181401,764,0,0,,,,
POINT (-122.408159184572 37.803437524147),5285,25382000,GRANT,AVE,25382000,LOMBARD,ST,,,,,2685,0,0,1,18,296046,3997,0,0,,,,
POINT (-122.438179019147 37.747837080814),2711,22046000,DOUGLASS,ST,22046000,26TH,ST,,,,,495,0,0,0,14,95835,1890,0,0,,,,
POINT (-122.432876897959 37.800777949362),3478,26738000,MAGNOLIA,ST,26738000,BUCHANAN,ST,,,,,1107,0,1,0,19,548422,2893,0,0,,,,
POINT (-122.418213737 37.744917401164),2553,28191000,LUNDYS,LN,28191000,FAIR,AVE,,,,,12295,0,0,0,1,32832,15,0,0,,,,
POINT (-122.400617930646 37.715119447397),547,20302000,CAMPBELL,AVE,20302000,BRUSSELS,ST,,,,,1923,0,0,0,2,208176,981,0,0,,,,
POINT (-122.409659598024 37.748339333297),2787,21139000,FLORIDA,ST,21139000,CESAR CHAVEZ,ST,,,,,770,0,0,0,20,356357,1835,0,0,,,,
POINT (-122.505102799418 37.779164803756),5885,27986000,44TH,AVE,27986000,GEARY,BLVD,,,,,14198,0,0,0,11,169548,1919,0,0,,,,
POINT (-122.39666056541 37.748356618977),7983,20712000,MARIN,ST,20712000,EVANS,AVE,,,,,436,0,0,0,20,151943,95,0,0,,,,
POINT (-122.459097822034 37.72618908047),893,22631000,ELMWOOD,WAY,22631000,WESTWOOD,DR,,,,,509,1,0,0,8,440261,1091,0,0,,,,
POINT (-122.448696538005 37.777437835054),7454,26455000,GOLDEN GATE,AVE,26455000,TAMALPAIS,TER,,,,,4339,1,0,0,9,499146,2079,0,0,,,,
POINT (-122.444444692115 37.78257463924),6850,32825000,GEARY,BLVD,32825000,LYON,ST,,,,,1077,1,0,1,24,463693,1845,0,0,,,,
POINT (-122.377735575072 37.739225453496),7956,20178000,NEWHALL,ST,20178000,JENNINGS,ST,,,,,443,0,0,0,4,293011,179,0,0,,,,
POINT (-122.393249980263 37.770969901271),5133,50382000,UNNAMED 014,0,50382000,UNNAMED 051,0,UNNAMED 012,0,,,2375,1,0,0,4,636208,20,0,0,,,,
POINT (-122.439513586941 37.718472163847),631,21737000,MISSION,ST,21737000,ITALY,AVE,,,,,584,0,1,0,19,1616359,1389,2,2.47000003,,,,
POINT (-122.393318902871 37.788231399761),4537,24505000,ZENO,PL,24505000,FOLSOM,ST,,,,,46840,0,0,1,7,1171362,1114,0,0,,,,
POINT (-122.427593201363 37.728571241874),1211,21684000,SILVER,AVE,21684000,MADRID,ST,,,,,657,0,0,0,10,204664,1360,0,0,,,,
POINT (-122.396418345542 37.761305336415),4082,23668000,19TH,ST,23668000,MISSOURI,ST,,,,,1952,0,0,0,4,239288,1560,0,0,,,,
POINT (-122.428627259737 37.7713882731),5973,25897000,WEBSTER,ST,25897000,WALLER,ST,,,,,1396,0,0,0,13,390090,3712,0,0,,,,
POINT (-122.389250958529 37.726420092475),7674,20152000,JENNINGS,ST,20152000,WALLACE,AVE,,,,,723,0,0,0,10,379124,521,0,0,,,,
POINT (-122.431204336112 37.767600184111),6354,25977000,14TH,ST,25977000,SANCHEZ,ST,,,,,786,0,0,0,21,355674,3119,2,11.25,,,,
POINT (-122.392626294393 37.781427833648),5920,23806000,STANFORD,ST,23806000,BRANNAN,ST,,,,,13922,0,0,0,4,2146814,2253,0,0,,,,
POINT (-122.468030700838 37.769211696903),4443,32852000,CONCOURSE,DR,32852000,UNNAMED 136,0,,,,,535,0,0,0,34,353534,276,0,0,,,,
POINT (-122.48936996024 37.738715200478),2261,23347000,VICENTE,ST,23347000,32ND,AVE,,,,,328,0,0,0,5,254698,1049,0,0,,,,
POINT (-122.473440725372 37.724590807245),1319,23030000,STRATFORD,DR,23030000,LYNDHURST,DR,,,,,503,1,0,0,4,538346,632,0,0,,,,
POINT (-122.439630689874 37.725970359103),1056,22108000,OTSEGO,AVE,22108000,SAN JUAN,AVE,,,,,538,0,0,0,10,315277,1183,0,0,,,,
POINT (-122.420283002767 37.805241711294),8018,25578000,BERGEN,ALY,25578000,HYDE,ST,,,,,706,0,1,0,17,638567,1768,0,0,,,,
POINT (-122.412437397524 37.768078548554),7308,24218000,ALAMEDA,ST,24218000,TREAT,AVE,,,,,10280,0,0,1,2,392236,265,0,0,,,,
