CNN,MODEL6_VOL,UNIVPROX,TOTEMP2,YR2011_PM,lat,long,num_trees,average_height,average_diameter
24437000,7474130,0,10924,-1,-122.418231406,37.778473322,19,15.9793650794,4.42105263158
23338000,1003991,0,448,-1,-122.491355844,37.7340127679,0,,
23592000,5679595,0,792,651,-122.388315058,37.7818049582,73,15.9793650794,14.8904109589
24546000,4961388,0,24985,-1,-122.391104545,37.7924454457,44,15.9793650794,11.75
54151000,2382830,0,30641,0,-122.39295141,37.7951818136,33,15.9793650794,10.2727272727
30734000,19545140,0,290,816,-122.40138871,37.7892692429,91,15.9793650794,6.26902990811
24519000,5744315,0,99426,241,-122.396718394,37.7855470507,104,15.9793650794,7.90622070775
21326000,3630715,0,463,117,-122.422853793,37.7410323228,44,15.9793650794,8.27723207515
24570000,4308693,0,61692,745,-122.397677278,37.7992417028,55,15.9793650794,13.9180710402
26026000,881526,0,899,-1,-122.437058834,37.7712723404,137,15.9793650794,6.94331947468
24077000,1650872,0,4989,-1,-122.414400818,37.7557043812,6,15.9793650794,9.24695360626
24672000,37192415,0,9594,-1,-122.399585248,37.7913314543,81,15.9793650794,8.20652685486
23962000,431465,0,2578,0,-122.426190711,37.7636410863,21,15.9793650794,10.0923367679
27154000,8255834,1,1599,-1,-122.466323846,37.7640419029,6,15.9793650794,9.24695360626
26796000,1545623,0,3395,625,-122.442223012,37.8057911937,80,15.9793650794,9.58365148149
24088000,6489230,0,4850,-1,-122.418458487,37.7522443712,89,15.9793650794,10.6711087106
26594000,2627436,0,2098,-1,-122.434575322,37.7841567813,103,15.9793650794,9.59451231098
27380000,218974,0,1048,-1,-122.481732004,37.7521495698,0,,
24506000,14252519,0,48985,-1,-122.394301989,37.7899402145,62,15.9793650794,7.26204763881
24174000,7786269,0,11919,1059,-122.42174474,37.7633046849,10,15.9793650794,9.24695360626
20578000,884891,0,1548,14,-122.402074178,37.7239249096,64,15.9793650794,6.14777110137
24353000,5501484,0,18438,578,-122.415574609,37.7731055062,132,15.9793650794,7.4629766082
21743000,4732252,0,746,42,-122.43642532,37.7238178455,69,15.9793650794,9.38525287456
30758000,3514594,0,939,-1,-122.426322659,37.7696075142,36,17.3138447972,10.6790323587
21838000,893702,0,562,0,-122.405165668,37.7436623925,23,15.9793650794,10.4541376049
20816000,273339,0,215,-1,-122.405255601,37.7430561215,30,15.9793650794,9.74776597793
24498000,4746727,0,43231,-1,-122.393610381,37.7880012301,66,15.9793650794,5.35971001241
26030000,1069081,0,1207,534,-122.435953551,37.774281595,94,15.9793650794,10.3668268259
23823000,2029315,0,1260,609,-122.397219526,37.7753371637,43,15.9793650794,13.1102525772
25330000,2234488,0,1333,165,-122.406888649,37.7980132556,40,15.9793650794,9.81173840157
21396000,1075755,0,507,-1,-122.433720035,37.7131480694,70,15.9793650794,8.61572466724
28013000,701062,0,8617,-1,-122.509446174,37.7798559819,6,15.9793650794,7.5
27725000,267852,0,859,-1,-122.493081353,37.7609972106,0,,
21173000,1306869,0,1183,74,-122.411497344,37.7483032032,33,15.9793650794,9.59710012406
24262000,5758102,0,6457,-1,-122.407832957,37.7767541036,120,15.904537037,6.95175330735
24462000,7871126,0,62006,497,-122.418611729,37.7802650518,54,15.9793650794,7.14747117176
24910000,842423,0,6762,168,-122.406970207,37.7894386022,52,15.9793650794,8.86468160145
24170000,6705799,0,8685,270,-122.419682191,37.7650562546,74,15.9793650794,10.003007871
23800000,5906929,0,10498,233,-122.39054045,37.7806116778,83,15.9793650794,7.00892603396
23534000,1086669,0,2335,-1,-122.386581511,37.7503299606,52,15.9793650794,8.83524960265
